Table 7. All intercepts >2 g.m. calculated using a 0.1g/t cut-off on relinquished blocks on E15/1447,,,,,
Project,Hole ID,From (m),[Length (m),Au (ppm),GM
Lefroy West,KD81318,80,6,0.92,5.54
LefroyWest,KD81533,84,4,2.70,10.78
Lefroy West,KD81533,94,8,1.95,15.60
LefroyWest,KD81534,80,18,0.17,3.13
LefroyWest,KD81785,16,8,0.41,3.26
Lefroy West,KD81790,82,9,0.33,2.97
LefroyWest,SAL1319,0,2,1.98,3.96
LefroyWest,SAL1486,90,4,0.57,2.26
Lefroy West,SAL1519,78,6,2.05,12.32
Lefroy West,SAL1763,78,12,0.23,2.81
LefroyWest,SAL1764,95,10,3.24,32.40
Lefroy West,SAL1777,78,7,1.45,10.15
Lefroy West,SAL1777,106,1,2.25,2.25
LefroyWest,SAL1789,197,1,2.28,2.28
Lefroy West,SAL1791,129.7,5.3,1.4,7.42
